"time","output","temperature_room","temperature_labnode"
"2022-09-21 01:09:56+00",877,296.1466666666667,306.21500000000003
"2022-09-21 01:09:58+00",877,296.14,306.21500000000003
"2022-09-21 01:10:00+00",877,296.15749999999997,306.205
"2022-09-21 01:10:02+00",877,296.1466666666667,306.21
"2022-09-21 01:10:04+00",877,296.15000000000003,306.205
"2022-09-21 01:10:06+00",877,296.16,306.21
"2022-09-21 01:10:08+00",877,296.1483333333333,306.19
"2022-09-21 01:10:10+00",877,296.1466666666667,306.205
"2022-09-21 01:10:12+00",877,296.1516666666667,306.205
"2022-09-21 01:10:14+00",877,296.15,306.205
"2022-09-21 01:10:16+00",877,296.14750000000004,306.195
"2022-09-21 01:10:18+00",877,296.14833333333337,306.2
"2022-09-21 01:10:20+00",877,296.15000000000003,306.2
"2022-09-21 01:10:22+00",877,296.15,306.205
"2022-09-21 01:10:24+00",877,296.1471428571429,306.2
"2022-09-21 01:10:26+00",877,296.15999999999997,306.2
"2022-09-21 01:10:28+00",877,296.14285714285717,306.195
"2022-09-21 01:10:30+00",877,296.1383333333333,306.19
"2022-09-21 01:10:32+00",877,296.14666666666665,306.19
"2022-09-21 01:10:34+00",877,296.1475,306.195
"2022-09-21 01:10:36+00",877,296.14428571428573,306.185
"2022-09-21 01:10:38+00",877,296.1425,306.19
"2022-09-21 01:10:40+00",877,296.14,306.19
"2022-09-21 01:10:42+00",877,296.1428571428572,306.185
"2022-09-21 01:10:44+00",877,296.15,306.19
"2022-09-21 01:10:46+00",877,296.14000000000004,306.19
"2022-09-21 01:10:48+00",877,296.14250000000004,306.195
"2022-09-21 01:10:50+00",877,296.144,306.195
"2022-09-21 01:10:52+00",877,296.155,306.195
"2022-09-21 01:10:54+00",877,296.13199999999995,306.195
"2022-09-21 01:10:56+00",877,296.14285714285717,306.195
"2022-09-21 01:10:58+00",877,296.14,306.2
"2022-09-21 01:11:00+00",877,296.13599999999997,306.2
"2022-09-21 01:11:02+00",877,296.14399999999995,306.2
"2022-09-21 01:11:04+00",877,296.1375,306.21
"2022-09-21 01:11:06+00",877,296.135,306.2
"2022-09-21 01:11:08+00",877,296.14375,306.2
"2022-09-21 01:11:10+00",877,296.14750000000004,306.21
"2022-09-21 01:11:12+00",877,296.145,306.205
"2022-09-21 01:11:14+00",877,296.14833333333337,306.205
"2022-09-21 01:11:16+00",877,296.15,306.21
"2022-09-21 01:11:18+00",877,296.1485714285714,306.2
"2022-09-21 01:11:20+00",877,296.13666666666666,306.205
"2022-09-21 01:11:22+00",877,296.158,306.2
"2022-09-21 01:11:24+00",877,296.1375,306.21
"2022-09-21 01:11:26+00",877,296.14000000000004,306.21
"2022-09-21 01:11:28+00",877,296.125,306.2
"2022-09-21 01:11:30+00",877,296.13000000000005,306.2
"2022-09-21 01:11:32+00",877,296.145,306.2
"2022-09-21 01:11:34+00",877,296.14,306.21000000000004
"2022-09-21 01:11:36+00",877,296.13599999999997,306.2
"2022-09-21 01:11:38+00",877,296.1414285714286,306.2
"2022-09-21 01:11:40+00",877,296.1557142857143,306.21
"2022-09-21 01:11:42+00",877,296.1466666666667,306.21500000000003
"2022-09-21 01:11:44+00",877,296.14799999999997,306.21
"2022-09-21 01:11:46+00",877,296.1425,306.205
"2022-09-21 01:11:48+00",877,296.1433333333334,306.2
"2022-09-21 01:11:50+00",877,296.13800000000003,306.2
"2022-09-21 01:11:52+00",877,296.16,306.205
"2022-09-21 01:11:54+00",877,296.1475,306.195
"2022-09-21 01:11:56+00",877,296.15000000000003,306.19
"2022-09-21 01:11:58+00",877,296.14500000000004,306.21000000000004
"2022-09-21 01:12:00+00",877,296.1471428571428,306.19
"2022-09-21 01:12:02+00",877,296.15285714285716,306.2
"2022-09-21 01:12:04+00",877,296.15,306.19
"2022-09-21 01:12:06+00",877,296.14399999999995,306.2
"2022-09-21 01:12:08+00",877,296.1325,306.185
"2022-09-21 01:12:10+00",877,296.135,306.195
"2022-09-21 01:12:12+00",877,296.144,306.2
"2022-09-21 01:12:14+00",877,296.1475,306.19
"2022-09-21 01:12:16+00",877,296.12857142857143,306.205
"2022-09-21 01:12:18+00",877,296.12428571428575,306.2
"2022-09-21 01:12:20+00",877,296.14000000000004,306.195
"2022-09-21 01:12:22+00",877,296.12000000000006,306.2
