# This file contains voltage measurements accross a 100 Ω shunt resistor driven by the digital current driver.
# KS34470A ACAL TEMP=+2.75075130E+01
# Log started at UTC: 2021-04-13T19:43:25+00:00
# Date,Value KS34470A
2021-04-13 19:56:49.448675,-1.02443975E+01
2021-04-13 19:56:53.502900,-1.02443961E+01
2021-04-13 19:56:57.556878,-1.02443974E+01
2021-04-13 19:57:01.611512,-1.02443971E+01
2021-04-13 19:57:05.666580,-1.02443975E+01
2021-04-13 19:57:09.721263,-1.02443961E+01
2021-04-13 19:57:13.776265,-1.02443960E+01
2021-04-13 19:57:17.830559,-1.02443958E+01
2021-04-13 19:57:21.884615,-1.02443957E+01
2021-04-13 19:57:25.938652,-1.02443955E+01
2021-04-13 19:57:29.992746,-1.02443963E+01
2021-04-13 19:57:34.047004,-1.02443963E+01
2021-04-13 19:57:38.101866,-1.02443963E+01
2021-04-13 19:57:42.156450,-1.02443959E+01
2021-04-13 19:57:46.211138,-1.02443959E+01
2021-04-13 19:57:50.265459,-1.02443958E+01
2021-04-13 19:57:54.319904,-1.02443965E+01
2021-04-13 19:57:58.374177,-1.02443962E+01
2021-04-13 19:58:02.428233,-1.02443955E+01
2021-04-13 19:58:06.482629,-1.02443969E+01
2021-04-13 19:58:10.536745,-1.02443958E+01
2021-04-13 19:58:14.590971,-1.02443950E+01
2021-04-13 19:58:18.645031,-1.02443941E+01
2021-04-13 19:58:22.699192,-1.02443957E+01
2021-04-13 19:58:26.753293,-1.02443974E+01
2021-04-13 19:58:30.808501,-1.02443966E+01
2021-04-13 19:58:34.865412,-1.02443977E+01
2021-04-13 19:58:39.000733,-1.02443966E+01
2021-04-13 19:58:43.057235,-1.02443971E+01
2021-04-13 19:58:47.113652,-1.02443968E+01
2021-04-13 19:58:51.170266,-1.02443961E+01
2021-04-13 19:58:55.226716,-1.02443970E+01
2021-04-13 19:58:59.283247,-1.02443965E+01
2021-04-13 19:59:03.340346,-1.02443975E+01
2021-04-13 19:59:07.397131,-1.02443982E+01
2021-04-13 19:59:11.453680,-1.02443969E+01
2021-04-13 19:59:15.510386,-1.02443973E+01
2021-04-13 19:59:19.646537,-1.02443966E+01
2021-04-13 19:59:23.702347,-1.02443971E+01
2021-04-13 19:59:27.758888,-1.02443969E+01
2021-04-13 19:59:31.815423,-1.02443965E+01
2021-04-13 19:59:35.872113,-1.02443966E+01
2021-04-13 19:59:39.928541,-1.02443957E+01
2021-04-13 19:59:43.985463,-1.02443963E+01
2021-04-13 19:59:48.042251,-1.02443959E+01
2021-04-13 19:59:52.099099,-1.02443967E+01
2021-04-13 19:59:56.155728,-1.02443973E+01
2021-04-13 20:00:00.212526,-1.02443966E+01
2021-04-13 20:00:04.269015,-1.02443969E+01
2021-04-13 20:00:08.325652,-1.02443973E+01
2021-04-13 20:00:12.382763,-1.02443956E+01
2021-04-13 20:00:16.439150,-1.02443937E+01
2021-04-13 20:00:20.496024,-1.02443897E+01
2021-04-13 20:00:24.552954,-1.02443909E+01
2021-04-13 20:00:28.609890,-1.02443906E+01
2021-04-13 20:00:32.666417,-1.02443907E+01
2021-04-13 20:00:36.723219,-1.02443903E+01
2021-04-13 20:00:40.779703,-1.02443897E+01
2021-04-13 20:00:44.836223,-1.02443896E+01
2021-04-13 20:00:48.892748,-1.02443893E+01
2021-04-13 20:00:52.950225,-1.02443897E+01
2021-04-13 20:00:57.006645,-1.02443895E+01
2021-04-13 20:01:01.063115,-1.02443902E+01
2021-04-13 20:01:05.119834,-1.02443903E+01
2021-04-13 20:01:09.176083,-1.02443907E+01
2021-04-13 20:01:13.232762,-1.02443901E+01
2021-04-13 20:01:17.289353,-1.02443901E+01
2021-04-13 20:01:21.346126,-1.02443904E+01
2021-04-13 20:01:25.403026,-1.02443903E+01
2021-04-13 20:01:29.459486,-1.02443898E+01
2021-04-13 20:01:33.516647,-1.02443898E+01
2021-04-13 20:01:37.573158,-1.02443884E+01
2021-04-13 20:01:41.630093,-1.02443896E+01
2021-04-13 20:01:45.686770,-1.02443902E+01
2021-04-13 20:01:49.743211,-1.02443900E+01
2021-04-13 20:01:53.880267,-1.02443908E+01
2021-04-13 20:01:57.937362,-1.02443892E+01
2021-04-13 20:02:01.992545,-1.02443908E+01
2021-04-13 20:02:06.046904,-1.02443898E+01
2021-04-13 20:02:10.101066,-1.02443898E+01
2021-04-13 20:02:14.155658,-1.02443903E+01
2021-04-13 20:02:18.209945,-1.02443904E+01
2021-04-13 20:02:22.264336,-1.02443913E+01
2021-04-13 20:02:26.318905,-1.02443910E+01
2021-04-13 20:02:30.373416,-1.02443904E+01
2021-04-13 20:02:34.427692,-1.02443902E+01
2021-04-13 20:02:38.481958,-1.02443900E+01
2021-04-13 20:02:42.536309,-1.02443948E+01
2021-04-13 20:02:46.590693,-1.02443967E+01
2021-04-13 20:02:50.644887,-1.02443961E+01
2021-04-13 20:02:54.699175,-1.02443962E+01
2021-04-13 20:02:58.753834,-1.02443956E+01
2021-04-13 20:03:02.808019,-1.02443956E+01
2021-04-13 20:03:06.862509,-1.02443961E+01
2021-04-13 20:03:10.917076,-1.02443967E+01
2021-04-13 20:03:14.972358,-1.02443963E+01
2021-04-13 20:03:19.026756,-1.02443962E+01
2021-04-13 20:03:23.082118,-1.02443961E+01
2021-04-13 20:03:27.136700,-1.02443966E+01
2021-04-13 20:03:31.191092,-1.02443956E+01
2021-04-13 20:03:35.246262,-1.02443959E+01
2021-04-13 20:03:39.300684,-1.02443960E+01
2021-04-13 20:03:43.355281,-1.02443957E+01
2021-04-13 20:03:47.409676,-1.02443956E+01
2021-04-13 20:03:51.464224,-1.02443960E+01
2021-04-13 20:03:55.518697,-1.02443954E+01
2021-04-13 20:03:59.574285,-1.02443963E+01
2021-04-13 20:04:03.629293,-1.02443965E+01
2021-04-13 20:04:07.684321,-1.02443967E+01
2021-04-13 20:04:11.739114,-1.02443961E+01
2021-04-13 20:04:15.793671,-1.02443957E+01
2021-04-13 20:04:19.848522,-1.02443955E+01
2021-04-13 20:04:23.903246,-1.02443952E+01
2021-04-13 20:04:27.958133,-1.02443947E+01
2021-04-13 20:04:32.012796,-1.02443953E+01
2021-04-13 20:04:36.067308,-1.02443958E+01
2021-04-13 20:04:40.121609,-1.02443962E+01
2021-04-13 20:04:44.175682,-1.02443968E+01
2021-04-13 20:04:48.229798,-1.02443957E+01
2021-04-13 20:04:52.284041,-1.02443961E+01
2021-04-13 20:04:56.338818,-1.02443945E+01
2021-04-13 20:05:00.392844,-1.02443951E+01
2021-04-13 20:05:04.447006,-1.02443954E+01
2021-04-13 20:05:08.501004,-1.02443945E+01
2021-04-13 20:05:12.555256,-1.02443954E+01
2021-04-13 20:05:16.610832,-1.02443948E+01
2021-04-13 20:05:20.667375,-1.02443955E+01
2021-04-13 20:05:24.804639,-1.02443957E+01
2021-04-13 20:05:28.860997,-1.02443958E+01
2021-04-13 20:05:32.917641,-1.02443961E+01
2021-04-13 20:05:36.974369,-1.02443956E+01
2021-04-13 20:05:41.030602,-1.02443959E+01
2021-04-13 20:05:45.087122,-1.02443955E+01
2021-04-13 20:05:49.143808,-1.02443964E+01
2021-04-13 20:05:53.200311,-1.02443963E+01
2021-04-13 20:05:57.256964,-1.02443952E+01
2021-04-13 20:06:01.313499,-1.02443946E+01
2021-04-13 20:06:05.370378,-1.02443957E+01
2021-04-13 20:06:09.426887,-1.02443955E+01
2021-04-13 20:06:13.483330,-1.02443959E+01
2021-04-13 20:06:17.539854,-1.02443949E+01
2021-04-13 20:06:21.596625,-1.02443954E+01
2021-04-13 20:06:25.653596,-1.02443951E+01
2021-04-13 20:06:29.710238,-1.02443958E+01
2021-04-13 20:06:33.766754,-1.02443953E+01
2021-04-13 20:06:37.823424,-1.02443955E+01
2021-04-13 20:06:41.879823,-1.02443955E+01
2021-04-13 20:06:45.936381,-1.02443951E+01
2021-04-13 20:06:49.993353,-1.02443953E+01
2021-04-13 20:06:54.050122,-1.02443942E+01
2021-04-13 20:06:58.106916,-1.02443946E+01
2021-04-13 20:07:02.163682,-1.02443951E+01
2021-04-13 20:07:06.220103,-1.02443942E+01
2021-04-13 20:07:10.276608,-1.02443946E+01
2021-04-13 20:07:14.334185,-1.02443956E+01
2021-04-13 20:07:18.390707,-1.02443944E+01
2021-04-13 20:07:22.447301,-1.02443937E+01
2021-04-13 20:07:26.502813,-1.02443940E+01
2021-04-13 20:07:30.556858,-1.02443944E+01
2021-04-13 20:07:34.610925,-1.02443933E+01
2021-04-13 20:07:38.664628,-1.02443947E+01
2021-04-13 20:07:42.719231,-1.02443943E+01
2021-04-13 20:07:46.773111,-1.02443940E+01
2021-04-13 20:07:50.827221,-1.02443944E+01
2021-04-13 20:07:54.882018,-1.02443945E+01
2021-04-13 20:07:58.936730,-1.02443946E+01
2021-04-13 20:08:02.991335,-1.02443943E+01
2021-04-13 20:08:07.045502,-1.02443961E+01
2021-04-13 20:08:11.099645,-1.02443952E+01
2021-04-13 20:08:15.154032,-1.02443944E+01
2021-04-13 20:08:19.208319,-1.02443946E+01
2021-04-13 20:08:23.345567,-1.02443944E+01
2021-04-13 20:08:27.400321,-1.02443948E+01
2021-04-13 20:08:31.455151,-1.02443946E+01
2021-04-13 20:08:35.509497,-1.02443938E+01
