"time","output","temperature room","temperature labnode"
"2022-09-24 09:06:00+00",570,296.15999999999997,307.21
"2022-09-24 09:06:02+00",570,296.15999999999997,307.20500000000004
"2022-09-24 09:06:04+00",570,296.21,307.22
"2022-09-24 09:06:06+00",570,296.175,307.22
"2022-09-24 09:06:08+00",570,296.15999999999997,307.21500000000003
"2022-09-24 09:06:10+00",570,296.145,307.22
"2022-09-24 09:06:12+00",570,296.15999999999997,307.22
"2022-09-24 09:06:14+00",570,296.145,307.21500000000003
"2022-09-24 09:06:16+00",570,296.16499999999996,307.225
"2022-09-24 09:06:18+00",570,296.15999999999997,307.225
"2022-09-24 09:06:20+00",570,296.155,307.21500000000003
"2022-09-24 09:06:22+00",570,296.155,307.21500000000003
"2022-09-24 09:06:24+00",570,296.15999999999997,307.22
"2022-09-24 09:06:26+00",570,296.145,307.21500000000003
"2022-09-24 09:06:28+00",570,296.125,307.22
"2022-09-24 09:06:30+00",570,296.15,307.22
"2022-09-24 09:06:32+00",570,296.145,307.22
"2022-09-24 09:06:34+00",570,296.155,307.21500000000003
"2022-09-24 09:06:36+00",570,296.145,307.21500000000003
"2022-09-24 09:06:38+00",570,296.135,307.21500000000003
"2022-09-24 09:06:40+00",570,296.145,307.21
"2022-09-24 09:06:42+00",570,296.15999999999997,307.225
"2022-09-24 09:06:44+00",570,296.145,307.22
"2022-09-24 09:06:46+00",570,296.155,307.21500000000003
"2022-09-24 09:06:48+00",570,296.135,307.22
"2022-09-24 09:06:50+00",570,296.145,307.21
"2022-09-24 09:06:52+00",570,296.18,307.21000000000004
"2022-09-24 09:06:54+00",570,296.145,307.21
"2022-09-24 09:06:56+00",570,296.145,307.22
"2022-09-24 09:06:58+00",570,296.135,307.225
"2022-09-24 09:07:00+00",570,296.145,307.22
"2022-09-24 09:07:02+00",570,296.145,307.2
"2022-09-24 09:07:04+00",570,296.14,307.21500000000003
"2022-09-24 09:07:06+00",570,296.14,307.225
"2022-09-24 09:07:08+00",570,296.15999999999997,307.225
"2022-09-24 09:07:10+00",570,296.145,307.22
"2022-09-24 09:07:12+00",570,296.155,307.21500000000003
"2022-09-24 09:07:14+00",570,296.135,307.21000000000004
"2022-09-24 09:07:16+00",570,296.14,307.21500000000003
"2022-09-24 09:07:18+00",570,296.155,307.22
"2022-09-24 09:07:20+00",570,296.145,307.22
"2022-09-24 09:07:22+00",570,296.145,307.21
"2022-09-24 09:07:24+00",570,296.15999999999997,307.21500000000003
"2022-09-24 09:07:26+00",570,296.145,307.21
"2022-09-24 09:07:28+00",570,296.145,307.21500000000003
"2022-09-24 09:07:30+00",570,296.15,307.21
"2022-09-24 09:07:32+00",570,296.175,307.21
"2022-09-24 09:07:34+00",570,296.145,307.20500000000004
"2022-09-24 09:07:36+00",570,296.15999999999997,307.2
"2022-09-24 09:07:38+00",570,296.15,307.21
"2022-09-24 09:07:40+00",570,296.145,307.2
"2022-09-24 09:07:42+00",570,296.15999999999997,307.21
"2022-09-24 09:07:44+00",570,296.155,307.21
"2022-09-24 09:07:46+00",570,296.15999999999997,307.21000000000004
