#Vsd vs Id simulation of a simple MOSFET model
#Vsd,Vgs=-0.2,Vgs=-0.4,Vgs=-0.6,Vgs=-0.8
2.200000000000001e-001,-1.627430880001000e-002,-5.191504507201000e-002,-8.771852443201003e-002,-1.235220037920100e-001
2.300000000000001e-001,-1.627495920001000e-002,-5.334117877801001e-002,-9.077358493801002e-002,-1.282059910980100e-001
2.400000000000001e-001,-1.627560960001000e-002,-5.468604825601001e-002,-9.374751129601006e-002,-1.328089743360101e-001
2.500000000000001e-001,-1.627626000001000e-002,-5.594964375001001e-002,-9.664029375001003e-002,-1.373309437500100e-001
2.600000000000001e-001,-1.627691040001000e-002,-5.713195550401001e-002,-9.945192254401004e-002,-1.417718895840100e-001
2.700000000000001e-001,-1.627756080001000e-002,-5.823297376201001e-002,-1.021823879220100e-001,-1.461318020820100e-001
2.800000000000001e-001,-1.627821120001000e-002,-5.925268876801001e-002,-1.048316801280100e-001,-1.504106714880100e-001
2.900000000000001e-001,-1.627886160001000e-002,-6.019109076601002e-002,-1.073997894060101e-001,-1.546084880460100e-001
3.000000000000001e-001,-1.627951200001000e-002,-6.104817000001001e-002,-1.098867060000101e-001,-1.587252420000100e-001
3.100000000000001e-001,-1.628016240001000e-002,-6.182391671401000e-002,-1.122924201540100e-001,-1.627609235940100e-001
3.200000000000001e-001,-1.628081280001000e-002,-6.251832115201002e-002,-1.146169221120100e-001,-1.667155230720100e-001
3.300000000000001e-001,-1.628146320001000e-002,-6.313137355801002e-002,-1.168602021180101e-001,-1.705890306780100e-001
3.400000000000001e-001,-1.628211360001000e-002,-6.366306417601002e-002,-1.190222504160101e-001,-1.743814366560101e-001
3.500000000000001e-001,-1.628276400001000e-002,-6.411338325001002e-002,-1.211030572500101e-001,-1.780927312500101e-001
3.600000000000002e-001,-1.628341440001000e-002,-6.448232102401003e-002,-1.231026128640101e-001,-1.817229047040101e-001
3.700000000000002e-001,-1.628406480001000e-002,-6.476986774201000e-002,-1.250209075020100e-001,-1.852719472620100e-001
3.800000000000002e-001,-1.628471520001000e-002,-6.497601364801001e-002,-1.268579314080100e-001,-1.887398491680100e-001
3.900000000000002e-001,-1.628536560001000e-002,-6.510074898601001e-002,-1.286136748260101e-001,-1.921266006660101e-001
4.000000000000002e-001,-1.628601600001000e-002,-6.514406400001001e-002,-1.302881280000101e-001,-1.954321920000101e-001
4.100000000000002e-001,-1.628666640001000e-002,-6.514666560001002e-002,-1.318812811740101e-001,-1.986566134140101e-001
4.200000000000002e-001,-1.628731680001000e-002,-6.514926720001001e-002,-1.333931245920101e-001,-2.017998551520100e-001
4.300000000000002e-001,-1.628796720001000e-002,-6.515186880001000e-002,-1.348236484980100e-001,-2.048619074580101e-001
4.400000000000002e-001,-1.628861760001000e-002,-6.515447040001002e-002,-1.361728431360101e-001,-2.078427605760101e-001
4.500000000000002e-001,-1.628926800001000e-002,-6.515707200001002e-002,-1.374406987500101e-001,-2.107424047500101e-001
4.600000000000002e-001,-1.628991840001000e-002,-6.515967360001002e-002,-1.386272055840101e-001,-2.135608302240101e-001
4.700000000000003e-001,-1.629056880001000e-002,-6.516227520001001e-002,-1.397323538820101e-001,-2.162980272420101e-001
4.800000000000003e-001,-1.629121920001000e-002,-6.516487680001001e-002,-1.407561338880101e-001,-2.189539860480100e-001
4.900000000000003e-001,-1.629186960001000e-002,-6.516747840001001e-002,-1.416985358460100e-001,-2.215286968860101e-001
5.000000000000002e-001,-1.629252000001000e-002,-6.517008000001001e-002,-1.425595500000101e-001,-2.240221500000101e-001
5.100000000000002e-001,-1.629317040001000e-002,-6.517268160001001e-002,-1.433391665940101e-001,-2.264343356340101e-001
5.200000000000002e-001,-1.629382080001000e-002,-6.517528320001002e-002,-1.440373758720100e-001,-2.287652440320101e-001
5.300000000000003e-001,-1.629447120001000e-002,-6.517788480001001e-002,-1.446541680780100e-001,-2.310148654380100e-001
5.400000000000003e-001,-1.629512160001000e-002,-6.518048640001001e-002,-1.451895334560100e-001,-2.331831900960100e-001
5.500000000000003e-001,-1.629577200001000e-002,-6.518308800001002e-002,-1.456434622500100e-001,-2.352702082500101e-001
5.600000000000003e-001,-1.629642240001000e-002,-6.518568960001002e-002,-1.460159447040100e-001,-2.372759101440100e-001
5.700000000000003e-001,-1.629707280001000e-002,-6.518829120001002e-002,-1.463069710620101e-001,-2.392002860220101e-001
5.800000000000003e-001,-1.629772320001000e-002,-6.519089280001002e-002,-1.465165315680101e-001,-2.410433261280101e-001
5.900000000000003e-001,-1.629837360001000e-002,-6.519349440001002e-002,-1.466446164660100e-001,-2.428050207060100e-001
6.000000000000003e-001,-1.629902400001000e-002,-6.519609600001002e-002,-1.466912160000100e-001,-2.444853600000100e-001
6.100000000000003e-001,-1.629967440001000e-002,-6.519869760001001e-002,-1.466970696000100e-001,-2.460843342540101e-001
6.200000000000003e-001,-1.630032480001000e-002,-6.520129920001001e-002,-1.467029232000100e-001,-2.476019337120100e-001
